Hiperparametros,epocas,lotes,train_f1,test_f1,train_accuracy,test_accuracy
"{'num_layers': 1, 'capa0_neuronas': 32, 'optimizer': 'adam'}",32,10,0.9775499701499939,0.9686999320983887,0.9775500297546387,0.9686999917030334
"{'num_layers': 1, 'capa0_neuronas': 32, 'optimizer': 'sgd'}",32,10,0.944149911403656,0.9424999356269836,0.9441499710083008,0.9424999952316284
"{'num_layers': 1, 'capa0_neuronas': 64, 'optimizer': 'adam'}",32,10,0.9904165863990784,0.9752999544143677,0.9904166460037231,0.9753000140190125
"{'num_layers': 1, 'capa0_neuronas': 64, 'optimizer': 'sgd'}",32,10,0.9507666230201721,0.9480999112129211,0.9507666826248169,0.9480999708175659
"{'num_layers': 1, 'capa0_neuronas': 128, 'optimizer': 'adam'}",32,10,0.9955165982246399,0.9792999625205994,0.9955166578292847,0.9793000221252441
"{'num_layers': 1, 'capa0_neuronas': 128, 'optimizer': 'sgd'}",32,10,0.9533665776252747,0.9538999199867249,0.9533666372299194,0.9538999795913696
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 32}",32,10,0.9812832474708557,0.9672999382019043,0.9812833070755005,0.9672999978065491
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 64}",32,10,0.9787832498550415,0.9737999439239502,0.9787833094596863,0.973800003528595
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 128}",32,10,0.9832332730293274,0.9724999666213989,0.9832333326339722,0.9725000262260437
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 32}",32,10,0.9573665857315063,0.9554999470710754,0.9573666453361511,0.9555000066757202
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 64}",32,10,0.9538499116897583,0.953999936580658,0.9538499712944031,0.9539999961853027
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 128}",32,10,0.9551166296005249,0.9530999660491943,0.9551166892051697,0.9531000256538391
"{'num_layers': 2, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 32}",32,10,0.9827666282653809,0.9743999242782593,0.9827666878700256,0.974399983882904
"{'num_layers': 2, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 64}",32,10,0.99073326587677,0.9762999415397644,0.9907333254814148,0.9763000011444092
"{'num_layers': 2, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 128}",32,10,0.9899332523345947,0.9756999611854553,0.9899333119392395,0.9757000207901001
"{'num_layers': 2, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 32}",32,10,0.9618166089057922,0.9603999257087708,0.961816668510437,0.9603999853134155
"{'num_layers': 2, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 64}",32,10,0.9631499648094177,0.9590999484062195,0.9631500244140625,0.9591000080108643
"{'num_layers': 2, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 128}",32,10,0.9629333019256592,0.9608999490737915,0.962933361530304,0.9609000086784363
"{'num_layers': 2, 'capa0_neuronas': 128, 'optimizer': 'adam', 'capa1_neuronas': 32}",32,10,0.9874332547187805,0.9785999655723572,0.9874333143234253,0.978600025177002
"{'num_layers': 2, 'capa0_neuronas': 128, 'optimizer': 'adam', 'capa1_neuronas': 64}",32,10,0.9903832674026489,0.9776999354362488,0.9903833270072937,0.9776999950408936
"{'num_layers': 2, 'capa0_neuronas': 128, 'optimizer': 'adam', 'capa1_neuronas': 128}",32,10,0.9920499324798584,0.9799999594688416,0.9920499920845032,0.9800000190734863
"{'num_layers': 2, 'capa0_neuronas': 128, 'optimizer': 'sgd', 'capa1_neuronas': 32}",32,10,0.9673166275024414,0.9635999202728271,0.9673166871070862,0.9635999798774719
"{'num_layers': 2, 'capa0_neuronas': 128, 'optimizer': 'sgd', 'capa1_neuronas': 64}",32,10,0.9671666026115417,0.9632999300956726,0.9671666622161865,0.9632999897003174
"{'num_layers': 2, 'capa0_neuronas': 128, 'optimizer': 'sgd', 'capa1_neuronas': 128}",32,10,0.9671332836151123,0.9642999172210693,0.9671333432197571,0.9642999768257141
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 32, 'capa2_neuronas': 32}",32,10,0.9815332889556885,0.9689999222755432,0.9815333485603333,0.968999981880188
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 32, 'capa2_neuronas': 64}",32,10,0.9805832505226135,0.9691999554634094,0.9805833101272583,0.9692000150680542
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 32, 'capa2_neuronas': 128}",32,10,0.9817999601364136,0.9726999402046204,0.9818000197410583,0.9726999998092651
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 32}",32,10,0.9769832491874695,0.9698999524116516,0.9769833087921143,0.9699000120162964
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 64}",32,10,0.9787166118621826,0.9685999155044556,0.9787166714668274,0.9685999751091003
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 128}",32,10,0.9845666289329529,0.9738999605178833,0.9845666885375977,0.9739000201225281
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 32}",32,10,0.9855332970619202,0.973099946975708,0.9855333566665649,0.9731000065803528
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 64}",32,10,0.9831499457359314,0.9727999567985535,0.9831500053405762,0.9728000164031982
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 128}",32,10,0.9866499304771423,0.9759999513626099,0.9866499900817871,0.9760000109672546
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 32}",32,10,0.9621332883834839,0.9584999680519104,0.9621333479881287,0.9585000276565552
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 64}",32,10,0.9614999294281006,0.9577999114990234,0.9614999890327454,0.9577999711036682
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 128}",32,10,0.9624665975570679,0.9577999114990234,0.9624666571617126,0.9577999711036682
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 32}",32,10,0.9639332890510559,0.9591999650001526,0.9639333486557007,0.9592000246047974
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 64}",32,10,0.962483286857605,0.9589999914169312,0.9624833464622498,0.9589999914169312
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 128}",32,10,0.9635832905769348,0.9594999551773071,0.9635833501815796,0.9595000147819519
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 32}",32,10,0.9640999436378479,0.9586999416351318,0.9641000032424927,0.9587000012397766
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 64}",32,10,0.959316611289978,0.9555999636650085,0.9593166708946228,0.9556000232696533
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 128}",32,10,0.9636499285697937,0.9595999121665955,0.9636499881744385,0.9595999717712402
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 32, 'capa2_neuronas': 32}",32,10,0.9853499531745911,0.9750999212265015,0.9853500127792358,0.9750999808311462
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 32, 'capa2_neuronas': 64}",32,10,0.9866166114807129,0.9758999347686768,0.9866166710853577,0.9758999943733215
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 32, 'capa2_neuronas': 128}",32,10,0.9891499280929565,0.9755999445915222,0.9891499876976013,0.975600004196167
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 32}",32,10,0.9844499230384827,0.97489994764328,0.9844499826431274,0.9749000072479248
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 64}",32,10,0.9855666160583496,0.9773999452590942,0.9855666756629944,0.977400004863739
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 128}",32,10,0.9884499311447144,0.9757999181747437,0.9884499907493591,0.9757999777793884
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 32}",32,10,0.9892999529838562,0.9768999814987183,0.989300012588501,0.9768999814987183
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 64}",32,10,0.9897832870483398,0.973599910736084,0.9897833466529846,0.9735999703407288
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 128}",32,10,0.9894999265670776,0.974299967288971,0.9894999861717224,0.9743000268936157
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 32}",32,10,0.969333291053772,0.9639999270439148,0.9693333506584167,0.9639999866485596
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 64}",32,10,0.9676666259765625,0.964199960231781,0.9676666855812073,0.9642000198364258
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 128}",32,10,0.9681499600410461,0.9643999338150024,0.9681500196456909,0.9643999934196472
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 32}",32,10,0.9704833030700684,0.9662999510765076,0.9704833626747131,0.9663000106811523
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 64}",32,10,0.9673332571983337,0.9629999399185181,0.9673333168029785,0.9629999995231628
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 128}",32,10,0.9692665934562683,0.965999960899353,0.9692666530609131,0.9660000205039978
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 32}",32,10,0.970183253288269,0.9662999510765076,0.9701833128929138,0.9663000106811523
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 64}",32,10,0.9680332541465759,0.9627999663352966,0.9680333137512207,0.9628000259399414
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 128}",32,10,0.967033326625824,0.9630999565124512,0.967033326625824,0.963100016117096
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'adam', 'capa1_neuronas': 32, 'capa2_neuronas': 32}",32,10,0.9904999136924744,0.9785999655723572,0.9904999732971191,0.978600025177002
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'adam', 'capa1_neuronas': 32, 'capa2_neuronas': 64}",32,10,0.9887499213218689,0.977899968624115,0.9887499809265137,0.9779000282287598
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'adam', 'capa1_neuronas': 32, 'capa2_neuronas': 128}",32,10,0.9881332516670227,0.9802999496459961,0.9881333112716675,0.9803000092506409
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 32}",32,10,0.9888832569122314,0.9773999452590942,0.9888833165168762,0.977400004863739
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 64}",32,10,0.9917832612991333,0.9767999649047852,0.9917833209037781,0.9768000245094299
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 128}",32,10,0.9870666265487671,0.977899968624115,0.9870666861534119,0.9779000282287598
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 32}",32,10,0.9928999543190002,0.9798999428749084,0.992900013923645,0.9799000024795532
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 64}",32,10,0.9890499114990234,0.977899968624115,0.9890499711036682,0.9779000282287598
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 128}",32,10,0.9872332811355591,0.9794999361038208,0.9872333407402039,0.9794999957084656
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 32}",32,10,0.974816620349884,0.9674999117851257,0.9748166799545288,0.9674999713897705
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 64}",32,10,0.9734499454498291,0.9689999222755432,0.9734500050544739,0.968999981880188
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 128}",32,10,0.9727999567985535,0.9675999283790588,0.9728000164031982,0.9675999879837036
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 32}",32,10,0.976183295249939,0.9688999652862549,0.9761833548545837,0.9689000248908997
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 64}",32,10,0.9743832945823669,0.9670999646186829,0.9743833541870117,0.9671000242233276
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 128}",32,10,0.9719332456588745,0.9675999283790588,0.9719333052635193,0.9675999879837036
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 32}",32,10,0.9725666046142578,0.9675999283790588,0.9725666642189026,0.9675999879837036
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 64}",32,10,0.9766666293144226,0.9708999395370483,0.9766666889190674,0.9708999991416931
"{'num_layers': 3, 'capa0_neuronas': 128, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 128}",32,10,0.9740332961082458,0.9692999124526978,0.9740333557128906,0.9692999720573425
"{'num_layers': 1, 'capa0_neuronas': 32, 'optimizer': 'adam'}",64,10,0.9762166142463684,0.9675999283790588,0.9762166738510132,0.9675999879837036
"{'num_layers': 1, 'capa0_neuronas': 32, 'optimizer': 'sgd'}",64,10,0.9278166890144348,0.9296998977661133,0.9278166890144348,0.9297000169754028
"{'num_layers': 1, 'capa0_neuronas': 64, 'optimizer': 'adam'}",64,10,0.985933244228363,0.9743999242782593,0.9859333038330078,0.974399983882904
"{'num_layers': 1, 'capa0_neuronas': 64, 'optimizer': 'sgd'}",64,10,0.9325832724571228,0.9370999336242676,0.9325833320617676,0.9370999932289124
"{'num_layers': 1, 'capa0_neuronas': 128, 'optimizer': 'adam'}",64,10,0.9919165968894958,0.9787999391555786,0.9919166564941406,0.9787999987602234
"{'num_layers': 1, 'capa0_neuronas': 128, 'optimizer': 'sgd'}",64,10,0.9364832639694214,0.9377999305725098,0.9364833235740662,0.9377999901771545
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 32}",64,10,0.9764832854270935,0.9687999486923218,0.9764833450317383,0.9688000082969666
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 64}",64,10,0.9810499548912048,0.9707999229431152,0.9810500144958496,0.97079998254776
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 128}",64,10,0.985849916934967,0.9727999567985535,0.9858499765396118,0.9728000164031982
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 32}",64,10,0.9392333030700684,0.9404999017715454,0.9392333626747131,0.940500020980835
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 64}",64,10,0.9409832954406738,0.9407999515533447,0.9409833550453186,0.9408000111579895
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 128}",64,10,0.9402666091918945,0.9422999620437622,0.9402666687965393,0.942300021648407
"{'num_layers': 2, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 32}",64,10,0.9879165887832642,0.975399911403656,0.9879166483879089,0.9753999710083008
"{'num_layers': 2, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 64}",64,10,0.9877166152000427,0.9747999310493469,0.9877166748046875,0.9747999906539917
"{'num_layers': 2, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 128}",64,10,0.9881332516670227,0.9759999513626099,0.9881333112716675,0.9760000109672546
"{'num_layers': 2, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 32}",64,10,0.9456332921981812,0.9459999203681946,0.9456333518028259,0.9459999799728394
"{'num_layers': 2, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 64}",64,10,0.9444332718849182,0.9425999522209167,0.944433331489563,0.9426000118255615
"{'num_layers': 2, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 128}",64,10,0.9430332779884338,0.9426999688148499,0.9430333375930786,0.9427000284194946
"{'num_layers': 2, 'capa0_neuronas': 128, 'optimizer': 'adam', 'capa1_neuronas': 32}",64,10,0.9931999444961548,0.9770999550819397,0.9932000041007996,0.9771000146865845
"{'num_layers': 2, 'capa0_neuronas': 128, 'optimizer': 'adam', 'capa1_neuronas': 64}",64,10,0.9940499663352966,0.9786999225616455,0.9940500259399414,0.9786999821662903
"{'num_layers': 2, 'capa0_neuronas': 128, 'optimizer': 'adam', 'capa1_neuronas': 128}",64,10,0.9885499477386475,0.9777999520301819,0.9885500073432922,0.9778000116348267
"{'num_layers': 2, 'capa0_neuronas': 128, 'optimizer': 'sgd', 'capa1_neuronas': 32}",64,10,0.9497832655906677,0.9508999586105347,0.9497833251953125,0.9509000182151794
"{'num_layers': 2, 'capa0_neuronas': 128, 'optimizer': 'sgd', 'capa1_neuronas': 64}",64,10,0.9505999684333801,0.9517999887466431,0.9506000280380249,0.9517999887466431
"{'num_layers': 2, 'capa0_neuronas': 128, 'optimizer': 'sgd', 'capa1_neuronas': 128}",64,10,0.9476832747459412,0.9487999677658081,0.9476833343505859,0.9488000273704529
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 32, 'capa2_neuronas': 32}",64,10,0.9792499542236328,0.9683999419212341,0.9792500138282776,0.9684000015258789
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 32, 'capa2_neuronas': 64}",64,10,0.9732332825660706,0.9699999690055847,0.9732333421707153,0.9700000286102295
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 32, 'capa2_neuronas': 128}",64,10,0.9800832867622375,0.9707999229431152,0.9800833463668823,0.97079998254776
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 32}",64,10,0.9812166094779968,0.9687999486923218,0.9812166690826416,0.9688000082969666
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 64}",64,10,0.9835999608039856,0.9710999131202698,0.9836000204086304,0.9710999727249146
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 128}",64,10,0.9791832566261292,0.9709999561309814,0.9791833162307739,0.9710000157356262
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 32}",64,10,0.9807332754135132,0.9719999432563782,0.980733335018158,0.972000002861023
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 64}",64,10,0.9818499684333801,0.9725999236106873,0.9818500280380249,0.972599983215332
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 128}",64,10,0.9866499304771423,0.9737999439239502,0.9866499900817871,0.973800003528595
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 32}",64,10,0.9433165788650513,0.9418999552726746,0.943316638469696,0.9419000148773193
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 64}",64,10,0.9421999454498291,0.9436999559402466,0.9422000050544739,0.9437000155448914
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 128}",64,10,0.9451999664306641,0.9446999430656433,0.9452000260353088,0.9447000026702881
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 32}",64,10,0.9450499415397644,0.9465999603271484,0.9450500011444092,0.9466000199317932
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 64}",64,10,0.9489333033561707,0.9496999382972717,0.9489333629608154,0.9496999979019165
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 128}",64,10,0.9458832740783691,0.9434999227523804,0.9458833336830139,0.9434999823570251
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 32}",64,10,0.9494499564170837,0.947399914264679,0.9494500160217285,0.9473999738693237
